Food Name,Category,Dietary Preference,Ingredients,Cooking Instructions,Spice Level,Cooking Time (mins),Serving Size,Calories,Protein (g),Carbohydrates (g),Fats (g),Step-by-Step Cooking Guide
Roti Roll,Easy to Cook,High-Fiber,"Roti, paneer/chicken filling","Fill roti with stuffing, roll.",Mild,50,3,174,14,69,24,1. Spread green chutney on a roti. 2. Add sliced veggies or paneer. 3. Roll tightly. 4. Grill or serve as is.
Paneer Tikka Wrap,Easy to Cook,High-Protein,"Paneer, spices, roti","Marinate paneer, grill, wrap in roti.",Mild,25,1,126,18,76,1,1. Marinate paneer cubes with spices and yogurt. 2. Grill or bake until charred. 3. Spread chutney on a tortilla. 4. Add paneer tikka and veggies. 5. Roll tightly and serve.
Butter Chicken,North Indian,High-Protein,"Chicken, Butter, Tomato, Cream, Spices, Garlic, Ginger","Marinate chicken with yogurt and spices, cook in butter, add tomato gravy and cream.",High,40,4,466,3,74,14,"1. Marinate chicken with spices and yogurt. 2. Grill or bake the chicken. 3. Sauté onions, ginger, garlic, and tomatoes. 4. Blend into a smooth gravy, add butter and cream. 5. Add grilled chicken and simmer. Serve with naan or rice."
Chole Bhature,North Indian,High-Calorie,"Chickpeas, Flour, Yogurt, Spices, Oil, Onions, Tomatoes","Soak chickpeas, cook with spices; knead dough, roll and deep-fry Bhature.",High,25,1,335,6,25,14,"1. Soak chickpeas overnight and pressure cook. 2. Sauté onions, tomatoes, and chole masala. 3. Add cooked chickpeas and simmer. 4. For bhature, knead maida, yogurt, and baking soda into a dough. 5. Roll into discs and deep fry. Serve together."
Dal Makhani,North Indian,High-Protein,"Black Lentils, Kidney Beans, Butter, Cream, Spices, Garlic","Soak lentils overnight, cook with tomatoes, cream, and butter, simmer for a rich taste.",Medium,15,1,235,17,80,6,"1. Soak urad dal and rajma overnight, then pressure cook. 2. Sauté onions, tomatoes, ginger, and garlic. 3. Add cooked dal, cream, and butter. 4. Simmer for 30 minutes. 5. Garnish with coriander. Serve with naan or rice."
Paneer Tikka,North Indian,High-Protein,"Paneer, Yogurt, Spices, Bell Peppers, Onions, Garlic","Marinate paneer with yogurt and spices, grill or bake until golden.",Mild,60,1,530,15,18,12,"1. Marinate paneer cubes with spices, yogurt, and ginger-garlic paste. 2. Skewer with vegetables like capsicum and onions. 3. Grill or bake until charred. 4. Serve with mint chutney."
Rajma Chawal,North Indian,High-Protein,"Kidney Beans, Rice, Onions, Tomatoes, Garlic, Spices","Soak kidney beans, pressure cook with spices, serve with steamed rice.",Mild,60,2,327,23,45,10,"1. Soak rajma overnight and pressure cook. 2. Sauté onions, tomatoes, and rajma masala. 3. Add cooked rajma and simmer. 4. Cook rice separately. 5. Serve rajma with steamed rice."
Kadhi Pakora,North Indian,Vegetarian,"Besan (Gram Flour), Yogurt, Spices, Curry Leaves, Oil","Make gram flour batter, fry pakoras, cook in yogurt-based curry.",High,25,2,346,16,15,20,"1. Mix besan and yogurt to make kadhi. 2. Add turmeric, salt, and water. 3. For pakoras, mix besan with spices and deep fry. 4. Boil kadhi, add pakoras, and simmer. 5. Temper with mustard seeds and curry leaves. Serve with rice."
Aloo Paratha,North Indian,Vegetarian,"Wheat Flour, Potatoes, Spices, Ghee, Coriander","Stuff wheat dough with spiced mashed potatoes, roll and roast with ghee.",Medium,50,4,342,28,40,24,1. Boil and mash potatoes. 2. Add spices and mix well. 3. Stuff the mixture into wheat dough balls. 4. Roll into parathas and cook on a tawa with ghee. 5. Serve with curd or pickle.
Tandoori Roti,North Indian,Vegetarian,"Wheat Flour, Yogurt, Salt, Baking Soda, Butter","Knead flour dough, roll, cook in a tandoor or on a hot griddle.",Mild,45,3,133,11,41,3,"1. Knead wheat flour, water, and salt into a dough. 2. Roll into thin discs. 3. Cook on a tawa and finish in a tandoor or oven. 4. Brush with butter. 5. Serve with curry."
Bhindi Masala,North Indian,Low-Carb,"Okra (Bhindi), Tomatoes, Onions, Spices, Mustard Seeds","Stir-fry okra with onions, tomatoes, and spices until well cooked.",High,55,2,176,7,15,22,"1. Sauté bhindi (okra) in oil until crispy. 2. Add chopped onions, tomatoes, and spices. 3. Cook until the masala thickens. 4. Garnish with coriander. 5. Serve with roti or rice."
Shahi Paneer,North Indian,High-Calorie,"Paneer, Cashews, Cream, Tomato Puree, Spices, Butter","Cook paneer in a creamy, cashew-based tomato gravy with mild spices.",Medium,25,2,277,12,15,25,"1. Sauté onions, ginger, garlic, and tomatoes. 2. Blend into a smooth gravy. 3. Add cream, butter, and paneer cubes. 4. Simmer for 10 minutes. 5. Garnish with coriander. Serve with naan or rice."
Kofta Curry,North Indian,High-Calorie,"Gram Flour, Paneer, Potatoes, Spices, Cream, Tomatoes","Make spiced paneer-potato balls, deep-fry, and cook in a rich curry.",Mild,40,2,528,9,10,24,1. Mix grated vegetables or paneer with spices and besan. 2. Shape into balls and deep fry. 3. Prepare a tomato-based gravy. 4. Add koftas to the gravy and simmer. 5. Serve with rice or naan.
Baingan Bharta,North Indian,Low-Carb,"Eggplant, Tomatoes, Onions, Spices, Garlic, Mustard Seeds","Roast eggplant, mash with spices, onions, tomatoes, and garlic.",Medium,15,2,381,8,59,9,"1. Roast eggplant until soft. 2. Peel and mash the eggplant. 3. Sauté onions, tomatoes, and spices. 4. Add mashed eggplant and cook. 5. Garnish with coriander. Serve with roti."
Gatte ki Sabzi,North Indian,Vegetarian,"Besan (Gram Flour), Yogurt, Spices, Mustard Seeds, Curry Leaves","Make gram flour dumplings, boil, and cook in spiced yogurt curry.",Medium,20,1,589,30,19,18,1. Mix besan with spices and yogurt to make dough. 2. Shape into cylinders and boil. 3. Cut into pieces and fry. 4. Prepare a yogurt-based gravy. 5. Add gatte to the gravy and simmer. Serve with rice or roti.
Pindi Chole,North Indian,High-Protein,"Chickpeas, Tea Leaves, Spices, Onions, Garlic, Tomatoes","Cook chickpeas with tea bags for color, temper with dry spices.",Mild,35,2,433,8,80,6,"1. Soak chickpeas overnight and pressure cook. 2. Sauté spices, ginger, and garlic. 3. Add cooked chickpeas and simmer. 4. Garnish with coriander. 5. Serve with bhature or rice."
Matar Paneer,North Indian,High-Protein,"Paneer, Peas, Tomatoes, Onions, Spices, Cream",Cook paneer and green peas in a spiced tomato-based gravy.,Mild,25,2,519,7,10,17,"1. Sauté onions, tomatoes, and spices. 2. Add peas and paneer cubes. 3. Cook until the gravy thickens. 4. Garnish with coriander. 5. Serve with roti or rice."
Missi Roti,North Indian,Vegetarian,"Besan (Gram Flour), Wheat Flour, Spices, Ghee","Knead gram flour with spices, roll and cook on a tawa.",Medium,20,2,549,12,44,4,"1. Mix besan, wheat flour, and spices. 2. Knead into a dough with water. 3. Roll into discs and cook on a tawa. 4. Brush with ghee. 5. Serve with curd or pickle."
Amritsari Kulcha,North Indian,Vegetarian,"Maida (Flour), Yogurt, Potatoes, Coriander, Butter","Stuff refined flour dough with potatoes, bake or roast with butter.",Mild,10,2,351,11,33,22,"1. Knead maida, yogurt, and baking soda into a dough. 2. Stuff with spiced potato mixture. 3. Roll into discs and cook on a tawa. 4. Brush with butter. 5. Serve with chole."
Makke ki Roti,North Indian,Gluten-Free,"Corn Flour, Salt, Water, Ghee","Knead corn flour dough, flatten, cook on a tawa with ghee.",Mild,30,2,103,5,16,10,"1. Mix maize flour, water, and salt into a dough. 2. Roll into discs and cook on a tawa. 3. Brush with ghee. 4. Serve with sarson da saag."
Sarson da Saag,North Indian,Low-Calorie,"Mustard Leaves, Spinach, Garlic, Corn Flour, Butter","Boil mustard leaves, blend, cook with ghee, serve with Makke ki Roti.",High,55,3,287,7,39,11,1. Boil mustard leaves and spinach. 2. Mash and cook with spices. 3. Temper with garlic and red chilies in ghee. 4. Add the tempering to the saag. 5. Serve with makke ki roti.
Dal Tadka,North Indian,High-Protein,"Yellow Lentils, Ghee, Garlic, Tomatoes, Mustard Seeds","Cook lentils, temper with ghee, garlic, and spices.",Medium,20,2,440,14,54,7,"1. Cook toor dal with turmeric and salt. 2. Temper mustard seeds, cumin seeds, garlic, and red chilies in ghee. 3. Add the tempering to the dal. 4. Garnish with coriander. 5. Serve with rice or roti."
Pav Bhaji,North Indian,Vegetarian,"Potatoes, Tomatoes, Peas, Capsicum, Butter, Spices","Mash vegetables, cook with butter and spices, serve with toasted pav.",High,40,4,164,17,10,6,"1. Boil and mash vegetables (potatoes, peas, etc.). 2. Sauté onions, tomatoes, and pav bhaji masala. 3. Add mashed vegetables and cook. 4. Toast pav (bread) with butter. 5. Serve with chopped onions and lemon."
Kachori,North Indian,Vegetarian,"Maida (Flour), Moong Dal, Spices, Oil, Asafoetida","Stuff dough with spiced lentil mix, deep-fry till golden.",Mild,15,1,224,18,12,14,"1. Mix flour, spices, and oil to make dough. 2. Stuff with spiced lentil or pea mixture. 3. Roll into discs and deep fry. 4. Serve with chutney."
Dahi Bhalla,North Indian,Probiotic,"Urad Dal, Yogurt, Tamarind Chutney, Spices","Soak lentils, grind, fry dumplings, serve in yogurt with chutneys.",High,10,2,478,15,45,15,"1. Soak urad dal, grind into a batter, and deep fry into vadas. 2. Soak vadas in water, then squeeze out excess water. 3. Add beaten curd, tamarind chutney, and spices. 4. Garnish with roasted cumin and coriander. 5. Serve chilled."
Puri Sabzi,North Indian,Vegetarian,"Wheat Flour, Potatoes, Spices, Ghee, Oil","Fry wheat dough to make puris, serve with spiced potato curry.",Mild,20,2,497,13,39,14,"1. Knead wheat flour, salt, and water into a dough. 2. Roll into small discs and deep fry. 3. For sabzi, cook potatoes with spices. 4. Serve puri with potato sabzi."
Kashmiri Dum Aloo,North Indian,Vegetarian,"Baby Potatoes, Yogurt, Kashmiri Red Chili, Spices","Fry baby potatoes, cook in spiced yogurt-based gravy.",Medium,25,2,340,16,12,18,1. Boil and fry baby potatoes. 2. Prepare a yogurt-based gravy with spices. 3. Add potatoes to the gravy and simmer. 4. Garnish with coriander. 5. Serve with rice or naan.
Khichdi,North Indian,High-Protein,"Rice, Moong Dal, Ghee, Spices, Vegetables",Cook rice and lentils together with mild spices.,Mild,55,4,129,21,72,12,"1. Cook rice and moong dal with turmeric and salt. 2. Temper cumin seeds, asafoetida, and ghee. 3. Add the tempering to the khichdi. 4. Serve with curd or pickle."
Methi Thepla,North Indian,Vegetarian,"Wheat Flour, Fenugreek Leaves, Yogurt, Spices","Knead wheat flour with fenugreek and spices, roll and cook.",Mild,50,4,348,29,57,18,"1. Mix wheat flour, besan, methi leaves, and spices. 2. Knead into a dough with water. 3. Roll into discs and cook on a tawa. 4. Brush with ghee. 5. Serve with curd or pickle."
Roti Sabzi,North Indian,Vegetarian,"Wheat Flour, Vegetables, Spices, Ghee","Make roti, cook mixed vegetables with spices.",Medium,40,4,227,15,77,10,"1. Knead wheat flour, water, and salt into a dough. 2. Roll into discs and cook on a tawa. 3. Prepare any vegetable curry (e.g., aloo gobi). 4. Serve roti with sabzi."
Aloo Gobi,North Indian,Vegetarian,"Potatoes, Cauliflower, Onions, Spices, Mustard Seeds",Stir-fry potatoes and cauliflower with spices and onions.,High,20,1,197,8,35,14,1. Sauté potatoes and cauliflower with spices. 2. Add tomatoes and cook until soft. 3. Garnish with coriander. 4. Serve with roti or rice.
Paneer Bhurji,North Indian,High-Protein,"Paneer, Onions, Tomatoes, Spices, Butter","Scramble paneer with onions, tomatoes, and spices.",High,30,4,389,28,62,24,"1. Crumble paneer and sauté with onions, tomatoes, and spices. 2. Cook until dry. 3. Garnish with coriander. 4. Serve with roti or paratha."
Besan Chilla,North Indian,High-Protein,"Besan (Gram Flour), Spices, Coriander, Green Chilies","Make gram flour batter, pan-fry into thin pancakes.",High,10,2,446,30,25,18,"1. Mix besan, water, and spices into a batter. 2. Pour on a hot tawa and cook like a pancake. 3. Add chopped vegetables (optional). 4. Serve with chutney."
Aloo Tikki,North Indian,Vegetarian,"Potatoes, Bread Crumbs, Spices, Oil, Coriander","Mash potatoes with spices, shape into patties, shallow fry.",Mild,15,2,249,4,36,25,1. Boil and mash potatoes. 2. Add spices and shape into patties. 3. Shallow fry until golden brown. 4. Serve with chutney or in chaat.
Litti Chokha,North Indian,Vegetarian,"Wheat Flour, Sattu, Mustard Oil, Spices, Tomatoes","Stuff wheat dough with sattu, bake, serve with mashed brinjal-potato mix.",Mild,35,3,105,23,17,14,"1. Mix wheat flour and sattu with spices to make dough. 2. Stuff with sattu mixture and bake or roast. 3. For chokha, mash roasted eggplant, tomatoes, and spices. 4. Serve litti with chokha and ghee."
Bhature,North Indian,Vegetarian,"Maida (Flour), Yogurt, Baking Soda, Oil","Knead refined flour with yogurt, ferment, roll and deep-fry.",Medium,55,1,175,27,60,12,"1. Knead maida, yogurt, and baking soda into a dough. 2. Roll into discs and deep fry. 3. Serve with chole."
Moong Dal Halwa,North Indian,Vegetarian,"Moong Dal, Ghee, Sugar, Cardamom, Milk","Roast ground moong dal in ghee, add sugar and milk, cook till thick.",Medium,30,1,207,21,69,8,"1. Soak moong dal, grind into a paste, and cook with ghee. 2. Add sugar and milk. 3. Cook until thickened. 4. Garnish with nuts. 5. Serve warm."
Gajar Ka Halwa,North Indian,Vegetarian,"Carrots, Milk, Sugar, Ghee, Cardamom, Nuts","Grate carrots, cook with milk, sugar, and ghee till soft.",Medium,50,1,187,10,56,23,1. Grate carrots and cook with milk. 2. Add sugar and khoya. 3. Cook until thickened. 4. Garnish with nuts. 5. Serve warm.
Peda,North Indian,Vegetarian,"Milk, Sugar, Cardamom, Ghee","Reduce milk, mix with sugar and cardamom, shape into small discs.",Medium,15,1,230,22,60,20,"1. Mix khoya, sugar, and cardamom powder. 2. Cook until thickened. 3. Shape into small discs. 4. Garnish with nuts. 5. Serve as a sweet."
Rasmalai,North Indian,Vegetarian,"Chhena (Paneer), Milk, Sugar, Cardamom, Saffron",Soak chhena patties in flavored thickened milk.,High,60,1,527,4,69,6,1. Boil small chenna balls in sugar syrup. 2. Prepare thickened milk with sugar and cardamom. 3. Soak the chenna balls in the milk. 4. Chill and serve.
Phirni,North Indian,Vegetarian,"Rice, Milk, Sugar, Cardamom, Saffron","Cook ground rice in milk, sweeten, garnish with saffron.",Mild,10,1,504,15,44,25,1. Soak rice and grind into a paste. 2. Cook with milk and sugar until thickened. 3. Add cardamom and nuts. 4. Chill and serve.
Malpua,North Indian,Vegetarian,"Maida (Flour), Milk, Sugar, Cardamom, Ghee","Make a batter of flour and milk, deep-fry, soak in sugar syrup.",Mild,15,3,378,2,45,4,"1. Mix flour, milk, and sugar into a batter. 2. Deep fry into pancakes. 3. Soak in sugar syrup. 4. Garnish with nuts. 5. Serve warm."
Rogan Josh,North Indian,High-Protein,"Mutton, Yogurt, Kashmiri Chili, Spices, Mustard Oil",Slow cook mutton with Kashmiri spices and yogurt till tender.,Medium,30,4,393,11,10,16,"1. Marinate mutton with spices and yogurt. 2. Sauté onions, ginger, and garlic. 3. Add marinated mutton and cook until tender. 4. Add tomato puree and simmer. 5. Garnish with coriander. Serve with rice or naan."
Seekh Kebab,North Indian,High-Protein,"Minced Meat, Garlic, Ginger, Spices, Butter","Mix minced meat with spices, skewer and grill.",Mild,55,1,435,9,19,21,1. Mix minced meat with spices and herbs. 2. Shape onto skewers and grill. 3. Serve with mint chutney.
Nihari,North Indian,High-Protein,"Mutton, Bone Marrow, Wheat Flour, Spices, Onions",Slow cook mutton with spices overnight for deep flavors.,Medium,55,4,378,29,47,20,1. Cook mutton with spices and wheat flour slurry. 2. Simmer for hours until tender. 3. Garnish with ginger and coriander. 4. Serve with naan.
Keema Paratha,North Indian,High-Protein,"Wheat Flour, Minced Meat, Spices, Butter","Stuff wheat dough with minced meat, roll and cook on tawa.",Medium,55,1,439,24,33,23,1. Sauté minced meat with spices. 2. Stuff into wheat dough balls. 3. Roll into parathas and cook on a tawa. 4. Serve with curd or pickle.
Mutton Korma,North Indian,High-Protein,"Mutton, Yogurt, Cashews, Spices, Onions","Cook mutton with yogurt, nuts, and rich spices.",Medium,15,4,115,19,35,25,"1. Marinate mutton with spices and yogurt. 2. Sauté onions, ginger, and garlic. 3. Add marinated mutton and cook until tender. 4. Add coconut milk and simmer. 5. Garnish with coriander. Serve with rice or naan."
Chana Masala,North Indian,High-Protein,"Chickpeas, Tomatoes, Onions, Spices, Garlic, Ginger",Cook chickpeas in spiced tomato-based gravy.,High,50,4,493,6,48,18,"1. Soak chickpeas overnight and pressure cook. 2. Sauté onions, tomatoes, and chana masala. 3. Add cooked chickpeas and simmer. 4. Garnish with coriander. 5. Serve with rice or bhature."
Tandoori Chicken,North Indian,High-Protein,"Chicken, Yogurt, Spices, Mustard Oil, Lemon","Marinate chicken in yogurt and spices, grill or bake.",Mild,10,2,470,21,69,22,1. Marinate chicken with spices and yogurt. 2. Grill or bake until charred. 3. Serve with mint chutney.
Murg Musallam,North Indian,High-Protein,"Whole Chicken, Yogurt, Cashews, Spices, Butter","Stuff whole chicken with spiced filling, slow-cook in rich gravy.",Mild,25,3,228,18,66,8,1. Marinate whole chicken with spices and yogurt. 2. Stuff with boiled eggs and spices. 3. Roast until golden brown. 4. Serve with naan or rice.
Handi Biryani,North Indian,Non-Vegetarian,"Basmati Rice, Mutton/Chicken, Spices, Yogurt, Saffron","Layer rice and marinated meat, slow cook in a sealed pot.",High,20,4,438,20,17,5,1. Marinate chicken with spices and yogurt. 2. Layer cooked rice and marinated chicken in a handi. 3. Seal and cook on low heat (dum) for 20 minutes. 4. Serve with raita.
Palak Paneer,North Indian,High-Protein,"Paneer, Spinach, Garlic, Spices, Cream","Blend spinach, cook with paneer, and mild spices.",Medium,55,1,305,2,70,20,"1. Blanch spinach and blend into a puree. 2. Sauté onions, tomatoes, and spices. 3. Add spinach puree and paneer cubes. 4. Simmer for 10 minutes. 5. Serve with naan or rice."
Dum Aloo,North Indian,Vegetarian,"Potatoes, Yogurt, Kashmiri Red Chili, Spices","Fry potatoes, cook in spicy gravy with yogurt.",Mild,40,4,452,9,51,22,1. Boil and fry baby potatoes. 2. Prepare a yogurt-based gravy with spices. 3. Add potatoes to the gravy and simmer. 4. Garnish with coriander. 5. Serve with rice or naan.
Makhan Malai,North Indian,Vegetarian,"Milk, Cream, Sugar, Saffron, Cardamom","Whip cream and milk, sweeten, garnish with saffron and nuts.",Medium,20,1,118,11,61,5,1. Whip cream and milk until frothy. 2. Add saffron and sugar. 3. Chill and serve.
Elaneer Payasam,South Indian,Vegetarian,"Tender coconut water, coconut flesh, jaggery, cardamom",Blend and cook lightly with jaggery,Mild,20,3,210,3,32,6,1. Extract tender coconut water and flesh. 2. Heat coconut water gently. 3. Add jaggery syrup and mix well. 4. Add coconut flesh and cardamom. 5. Cool and serve chilled.
Kothamalli Sadam,South Indian,Vegetarian,"Coriander leaves, rice, green chili, garlic, oil",Blend coriander paste and mix with rice,Medium,25,2,320,7,55,8,"1. Cook rice and cool slightly. 2. Grind coriander, chili, garlic. 3. Heat oil and sauté paste. 4. Mix with rice and salt. 5. Serve warm."
Moru Kuzhambu,South Indian,Vegetarian,"Buttermilk, coconut, cumin, green chili, vegetables",Simmer spiced buttermilk with veggies,Low,30,3,180,6,18,6,"1. Grind coconut, cumin, chili. 2. Add to buttermilk. 3. Add vegetables. 4. Simmer gently without boiling. 5. Temper and serve."
Vendakka Pachadi,South Indian,Vegetarian,"Okra, yogurt, coconut, mustard",Mix sautéed okra with yogurt sauce,Low,25,3,160,5,14,7,1. Slice and fry okra till crisp. 2. Grind coconut and mustard. 3. Mix paste with yogurt. 4. Add okra and salt. 5. Temper and serve.
Kumbakonam Degree Coffee,South Indian,Vegetarian,"Coffee powder, milk, water, sugar",Brew decoction and mix with milk,Low,10,1,90,3,10,3,1. Prepare coffee decoction. 2. Boil milk separately. 3. Mix decoction with milk. 4. Add sugar. 5. Serve frothy.
Thakkali Thokku,South Indian,Vegetarian,"Tomatoes, garlic, chili powder, oil",Cook tomatoes till thick paste,Medium,40,6,110,2,14,5,1. Chop tomatoes. 2. Cook with oil and garlic. 3. Add spices and salt. 4. Cook till oil separates. 5. Cool and store.
Kadalai Urundai,South Indian,Vegetarian,"Peanuts, jaggery, cardamom",Roll jaggery-coated peanuts,Mild,25,6,180,6,20,8,1. Dry roast peanuts. 2. Remove skins. 3. Melt jaggery syrup. 4. Mix peanuts. 5. Roll into balls.
Thengai Poli,South Indian,Vegetarian,"Coconut, jaggery, wheat flour, ghee",Stuff coconut filling in dough,Medium,45,4,290,6,38,10,1. Prepare coconut-jaggery filling. 2. Knead dough. 3. Stuff filling inside dough. 4. Roll gently. 5. Cook with ghee.
Kara Boondi,South Indian,Vegetarian,"Besan, chili powder, curry leaves",Fry spiced gram flour droplets,High,30,4,260,8,22,12,1. Make thick besan batter. 2. Drop into hot oil. 3. Fry till crisp. 4. Toss with spices. 5. Cool and store.
Chow Chow Kootu,South Indian,Vegetarian,"Chayote, lentils, coconut",Cook lentils with veggie,Low,35,3,200,9,28,5,1. Cook lentils till soft. 2. Add chopped chayote. 3. Grind coconut paste. 4. Mix and simmer. 5. Temper and serve.
Mullu Murukku,South Indian,Vegetarian,"Rice flour, urad flour, butter",Fry star-shaped murukku,Medium,40,5,310,7,30,14,1. Mix flours with butter. 2. Add water and knead. 3. Shape murukku. 4. Fry till golden. 5. Cool completely.
Kothavarangai Poriyal,South Indian,Vegetarian,"Cluster beans, coconut, mustard",Stir-fry with coconut,Low,25,3,140,4,18,4,1. Chop beans finely. 2. Cook till soft. 3. Add coconut. 4. Temper with mustard. 5. Serve hot.
Paalada Payasam,South Indian,Vegetarian,"Rice ada, milk, sugar, ghee",Cook ada in milk till thick,Mild,45,4,320,7,42,12,1. Cook ada till soft. 2. Boil milk slowly. 3. Add sugar. 4. Stir continuously. 5. Garnish with ghee.
Chilli Bajji,South Indian,Vegetarian,"Green chili, besan, spices",Coat and deep fry,High,20,3,230,6,25,11,1. Slit chilies. 2. Prepare besan batter. 3. Dip chilies. 4. Fry till crisp. 5. Serve hot.
Kozhukattai,South Indian,Vegetarian,"Rice flour, coconut, jaggery",Steam stuffed dumplings,Mild,40,4,210,5,32,6,1. Prepare sweet filling. 2. Make rice dough. 3. Shape dumplings. 4. Steam for 10 mins. 5. Serve warm.
Thattuvadai Set,South Indian,Vegetarian,"Rice crackers, chutneys, onion",Assemble layered snack,Medium,15,2,190,4,22,7,1. Prepare chutneys. 2. Arrange crackers. 3. Add fillings. 4. Stack layers. 5. Serve immediately.
Poondu Rasam,South Indian,Vegetarian,"Garlic, tamarind, pepper",Boil rasam spices,Medium,20,3,90,3,10,2,1. Crush garlic. 2. Extract tamarind water. 3. Add spices. 4. Simmer gently. 5. Temper and serve.
Vazhaipoo Vadai,South Indian,Vegetarian,"Banana flower, lentils",Grind and deep fry,Medium,45,4,250,9,30,10,1. Clean banana flower. 2. Soak lentils. 3. Grind coarsely. 4. Shape vadai. 5. Fry till crisp.
Keerai Masiyal,South Indian,Vegetarian,"Greens, garlic, chili",Mash cooked greens,Low,20,3,110,5,12,3,1. Clean greens. 2. Cook till soft. 3. Mash thoroughly. 4. Add garlic tempering. 5. Serve with rice.
Milagu Kuzhambu,South Indian,Vegetarian,"Pepper, tamarind, garlic",Boil spicy gravy,High,30,4,150,4,16,6,1. Crush pepper. 2. Heat oil with garlic. 3. Add tamarind water. 4. Simmer till thick. 5. Serve hot.
Ulundu Kali,South Indian,Vegetarian,"Urad dal flour, jaggery, ghee",Cook flour into thick mass,Mild,35,3,330,10,28,14,1. Roast urad flour. 2. Prepare jaggery syrup. 3. Mix flour slowly. 4. Stir continuously. 5. Add ghee and serve.
Seeni Sambol,South Indian,Vegetarian,"Onion, chili, coconut",Sauté sweet spicy onion,Medium,25,3,160,3,18,6,1. Slice onions. 2. Sauté till caramelized. 3. Add chili. 4. Mix coconut. 5. Serve as side.
Kambu Adai,South Indian,Vegetarian,"Pearl millet flour, onion",Cook thick pancakes,Medium,30,3,220,7,34,6,1. Prepare batter. 2. Rest for 20 mins. 3. Heat tawa. 4. Spread thick adai. 5. Cook both sides.
Sura Puttu,South Indian,Non-Vegetarian,"Shark meat, coconut, spices",Steam seasoned fish,High,45,3,280,22,6,14,1. Clean fish. 2. Marinate with spices. 3. Layer with coconut. 4. Steam till cooked. 5. Serve hot.
Chemmeen Thoran,South Indian,Non-Vegetarian,"Prawns, coconut, shallots",Stir-fry with coconut,Medium,25,3,240,20,8,12,1. Clean prawns. 2. Sauté shallots. 3. Add prawns. 4. Mix coconut. 5. Cook till dry.
Kozhi Varuval,South Indian,Non-Vegetarian,"Chicken, spices, curry leaves",Dry roast chicken,High,40,4,320,26,10,18,1. Marinate chicken. 2. Pressure cook lightly. 3. Pan roast with oil. 4. Add curry leaves. 5. Roast till dry.
Paneer Lababdar,North Indian,Vegetarian,"Paneer, tomatoes, cream, spices",Cook paneer in rich tomato gravy,Medium,40,4,360,18,20,22,"1. Heat oil and butter in a pan. 2. Sauté onions till golden. 3. Add tomato puree and spices. 4. Cook till oil separates. 5. Add paneer and cream, simmer and serve."
Aloo Tamatar Sabzi,North Indian,Vegetarian,"Potatoes, tomatoes, ginger",Simple potato tomato curry,Low,30,4,240,6,38,7,1. Heat oil and add cumin. 2. Add ginger and tomatoes. 3. Cook till soft. 4. Add potatoes and spices. 5. Simmer till cooked.
Lauki Kofta,North Indian,Vegetarian,"Bottle gourd, besan, spices",Fried koftas in gravy,Medium,45,4,310,10,28,16,1. Grate and squeeze lauki. 2. Mix with besan and spices. 3. Fry koftas. 4. Prepare tomato gravy. 5. Add koftas before serving.
Mushroom Masala,North Indian,Vegetarian,"Mushrooms, onion, tomato",Cook mushrooms in masala,Medium,35,3,220,9,18,10,1. Heat oil and sauté onions. 2. Add ginger-garlic. 3. Add tomatoes and spices. 4. Add mushrooms. 5. Cook till tender.
Palak Corn,North Indian,Vegetarian,"Spinach, sweet corn, cream",Creamy spinach corn curry,Low,30,3,260,8,22,14,1. Blanch spinach and blend. 2. Sauté corn in butter. 3. Add spinach puree. 4. Add spices and cream. 5. Simmer and serve.
Tawa Pulao,North Indian,Vegetarian,"Rice, vegetables, pav bhaji masala",Stir-fried spiced rice,Medium,25,3,340,8,52,9,1. Heat butter on tawa. 2. Sauté vegetables. 3. Add spices. 4. Mix cooked rice. 5. Toss well and serve.
Masala Khichiya,North Indian,Vegetarian,"Rice flour, cumin, chili",Crispy spiced crackers,Medium,30,4,210,5,28,8,1. Mix rice flour and spices. 2. Add water to form dough. 3. Roll thin discs. 4. Cook on tawa till crisp. 5. Cool and serve.
Karela Fry,North Indian,Vegetarian,"Bitter gourd, onion, spices",Shallow-fried karela,High,35,3,180,4,20,7,1. Slice karela thin. 2. Salt and rest. 3. Rinse and squeeze. 4. Fry with onions. 5. Cook till crisp.
Dum Ka Lauki,North Indian,Vegetarian,"Bottle gourd, yogurt, spices",Slow-cooked yogurt curry,Medium,40,4,230,7,18,12,1. Sauté lauki pieces. 2. Prepare yogurt masala. 3. Add spices. 4. Cover and cook on low. 5. Garnish and serve.
Amchur Lassi,North Indian,Vegetarian,"Yogurt, dry mango powder",Whisked spiced yogurt drink,Low,10,2,140,6,14,4,1. Add yogurt to blender. 2. Add amchur and salt. 3. Blend till smooth. 4. Chill. 5. Serve cold.
Paneer Kathi Roll,North Indian,Vegetarian,"Paneer, roti, onion",Stuffed spiced paneer roll,Medium,30,2,420,16,38,18,1. Marinate paneer. 2. Cook paneer on tawa. 3. Prepare roti. 4. Add fillings. 5. Roll and serve.
Matra Kulcha,North Indian,Vegetarian,"Dried peas, spices, kulcha",Spiced peas with bread,Medium,45,3,360,14,48,9,1. Soak and cook peas. 2. Add spices and boil. 3. Mash lightly. 4. Heat kulcha. 5. Serve together.
